title,purpose,category
All-Party Parliamentary Group on Park Homes,"To bring together parliamentarians, park homeowners and industry representatives to discuss issues of common interest including legislation and its enforcement to eliminate abuse and disadvantage.",Subject
All-Party Parliamentary Group on Parkinson's,To raise awareness of the condition among parliamentarians and influence legislation and policy makers to improve the lives of people affected by the condition.,Subject
All-Party Parliamentary Group on Penal Affairs,To increase Members' knowledge of penal affairs and to work through parliamentary channels to reform the penal system.,Subject
All-Party Parliamentary Group on Pension Clawback,"To campaign for HSBC UK to remove state deduction, more commonly known as pension integration or 'clawback', from the post-1974 Midland Bank Defined Benefit Pension Scheme.  To raise awareness of pension clawback more generally, especially in cases where it has been poorly communicated, and to highlight its discriminatory impacts.",Subject
All-Party Parliamentary Group on Pensions,To develop and encourage pensions arrangements in the UK.,Subject
Performers' Alliance All-Party Parliamentary Group,"To work alongside the unions of the Performers' Alliance - Equity, the Musicians' Union and the Writers' Guild of Great Britain - to raise issues affecting performers and writers across the arts community and to provide a forum for issues relating to arts and culture policy.",Subject
All-Party Parliamentary Group on Personalised Medicine,Emerging science and technology have the potential to create a more effective and efficient NHS and deliver more personalised medicine. The APPG on Personalised Medicine explores the opportunities offered by medical innovations and works to ensure that patients and the wider public derive maximum benefits from them.,Subject
All-Party Parliamentary Group on Pharmacy,"To raise awareness of the profession of pharmacy, and to promote pharmacists' current and potential contribution to the health of the nation.",Subject
All-Party Parliamentary Group on Phenylketonuria,"To raise awareness of Phenylketonuria (PKU); to improve access to the drug 'Kuran', which is widely available in the majority of European countries.",Subject
All-Party Parliamentary Group on Philanthropy and Social Investment,"To further understanding of the role of philanthropy, giving and social investment in Parliament, and to act as a discussion forum for politicians, philanthropists, social investors and experts to develop policy to improve and increase the amount of giving and social investment to good causes in the UK.",Subject
All-Party Parliamentary Philately Group,"To bring together all who are interested in philately; to promote and educate others about philately; to co-operate with the Royal Mail and the Royal Philatelic Society; and to hold meetings, discussions and events relating to philately.",Subject
All-Party Parliamentary Group for Photography,To promote interest in photography.,Subject
All-Party Parliamentary Group on Photonics,To raise awareness of the photonics industry and recognise the impact it makes on the UK economy and its potential for future economic growth.,Subject
All-Party Parliamentary Pigeon Racing Group,"To promote greater understanding and appreciation of the social, sporting and cultural benefits of pigeon racing.",Subject
All-Party Parliamentary Group on the Prevention of Plastic Waste,To monitor the progress of the 25 Year Environment Plan in relation to plastic waste; to raise issues relating to the impact of plastic waste on our environment; and to provide a cross-party forum to work towards the minimisation of plastic waste.,Subject
All-Party Parliamentary Group for Plumbers' Pensions,To consider the difficulties arising from the section 75 employer debt provision of the Pensions Act 1995 as it applied to the plumbers' occupational pension scheme administered by the Plumbing & Mechanical Services (UK) Industry Pension Scheme.,Subject
All-Party Parliamentary Group on Policing and Security,To promote better understanding of policing and security issues amongst both Houses of Parliament.,Subject
All-Party Parliamentary Group on Polo,To support and promote the sport of polo in the UK.,Subject
"All-Party Parliamentary Group  on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Subject
All-Party Parliamentary Group on Post Offices,To raise awareness of the important economic and social contribution post offices and post masters make; to ensure their position as a vital public service; and to provide input into the areas of public policy which affect the post office.,Subject
"All-Party Parliamentary Group for Post-Brexit Funding for Nations, Regions and Local Areas",The EU is the largest financial contributor to UK regional development. After Brexit the government will establish a UK Shared Prosperity Fund. The APPG intends to shape thinking and engage in the details of the fund and new system of regional funding and policies after Brexit.,Subject
All-Party Parliamentary Group on Poverty,"To provide awareness of the impact of poverty, its causes and consequences, and to encourage the spread of good practice to alleviate and eliminate it.",Subject
All-Party Parliamentary Group on Premature and Sick Babies,"To raise awareness of the issues affecting the parents of premature and sick babies, to create practical action which secures the best quality of life for affected families, and to champion policies which increase the chance of a positive outcome for these babies.",Subject
All-Party Parliamentary Group for Prescribed Drug Dependence,"Increasing numbers of prescriptions for psychoactive drugs are being given to both adults and children, with growing evidence that long-term use leads to worse outcomes. The group will recognise, address and reduce the harm caused by dependence upon these medications.",Subject
All-Party Parliamentary Group on Print,To provide a forum in which issues impacting on the printing industry may be debated; to promote understanding of those issues and of the industry; and to raise the profile of the printing industry among parliamentarians.,Subject
All-Party Parliamentary Group for the Private Rented Sector,"To raise greater awareness of the private rented housing sector in Parliament; to provide a forum for parliamentarians to discuss issues pertinent to the sector and engage with ministers, landlords, tenants and other interested parties; and to hold inquiries into policy and operational issues on the sector and produce reports.",Subject
All-Party Parliamentary Pro-Life Group,"To provide a forum for discussion of pro-life issues including abortion, euthanasia and research upon the human embryo.",Subject
All-Party Parliamentary Group on Prostitution and the Global Sex Trade,"To raise awareness of the impact of the sale of sexual services on those involved and develop proposals for government action; to tackle individuals who create demand for sexual services and those who control prostitution; to protect prostituted women, helping them to exit prostitution; and to prevent girls entering prostitution.",Subject
All-Party Parliamentary Group on Psychology,"To raise awareness amongst parliamentarians and policymakers of the importance and relevance of psychology, combining research and best practice briefings to ensure that MPs have access to a psychological evidence- based approach to policy development.",Subject
All-Party Parliamentary Group on Public Legal Education and Pro Bono,"To promote pro bono work and public legal education (PLE) nationally and internationally, to provide a forum for parliamentarians to work with the legal sector to foster a supportive policy environment for PLE and pro-bono, and encourage/raise awareness of initiatives to improve legal capability and free legal services provision.",Subject
All-Party Parliamentary Group on Pubs,"To promote and campaign for the interests of pubs, landlords, and the communities around these pubs.",Subject
All-Party Parliamentary Group on Queen's University Belfast,To be the main avenue of communication between parliamentarians and Queen's University Belfast; to provide an opportunity to examine issues relevant to Queen's University Belfast; and to discuss the University's economic and social contribution to the United Kingdom.,Subject
All-Party Parliamentary Group on Race and Community,To increase the coverage of race and equality issues in Parliament; to update members on race equality issues and up-to-date research; and to connect the group with race equality organisations.,Subject
All-Party Parliamentary Racing and Bloodstock Industries Group,To promote the racing and bloodstock industries within Parliament; to inform members of both Houses about the industries; and to service the well-being of the industries.,Subject
Show Racism the Red Card All-Party Parliamentary Group,"To combat racism through enabling role models, who are predominantly but not exclusively footballers, to present anti racism education to young people and others.",Subject
All-Party Parliamentary Group on Radiotherapy,"To provide an effective voice for radiotherapy and improve access to radiotherapy for cancer patients, ensuring no-one had to travel more than 45 minutes to their nearest radiotherapy unit. To ensure radiotherapy receives increased funding so that patients are allowed to have the best radiotherapy for their individual cancer.",Subject
All-Party Parliamentary Rail Group,To facilitate an informed debate amongst parliamentarians regarding all aspects of the UK's railway industries.,Subject
All-Party Parliamentary Rail in the North Group,"To provide a forum for parliamentarians to consider and discuss the strategic rail network in the north of England and to raise awareness of these issues in Parliament, and with stakeholders.",Subject
All-Party Parliamentary Group on Rail in Wales,"To provide a forum for parliamentarians to discuss issues related to the rail network and industry in Wales. To conduct specific inquiries, and to hear directly from representatives of the rail industry.",Subject
"All-Party Parliamentary Group on Rare, Genetic and Undiagnosed Conditions","To increase awareness in Parliament of rare, genetic and undiagnosed conditions and help to ensure that patients and families affected by those conditions have access to appropriate care and support.",Subject
All-Party Parliamentary Group for Reeling,To promote the enjoyment of Scottish country dancing and associated benefits.,Subject
"All-Party Parliamentary Group on Reform, Decentralisation and Devolution","To allow for cross-party discussions on constitutional reform, decentralisation and devolution and the need for a UK-wide settlement.",Subject
All-Party Parliamentary Group on Refugees,"To provide a forum for the discussion of issues relating to refugees, both in the UK and abroad, and to promote the welfare of refugees.",Subject
All-Party Parliamentary Group on Religion in the Media,"To improve religious literacy in media and politics and to provide a platform where the regulatory, commercial and cultural factors which influence depictions of faith can be discussed.",Subject
All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Subject
All-Party Parliamentary Group on Religious Education,"To provide a medium through which parliamentarians and organisations with an interest in religious education can discuss the current provision of religious education, press for continuous improvement, promote public understanding and advocate rigorous education for every young person is religious world views.",Subject
All-Party Parliamentary Group for Renewable and Sustainable Energy,To promote sustainable energy issues in Parliament and across the wider political community.,Subject
All-Party Parliamentary Group on Respiratory Health,To raise awareness of the importance of respiratory health and to promote effective policy for improving treatments and outcomes for respiratory illnesses.,Subject
All-Party Parliamentary Group on Responsible Tax,"How can Parliament help to build and maintain the fair, sustainable and transparent tax system that is needed if individuals, businesses and markets are to create growth and prosperity both in the UK and internationally?",Subject
All-Party Parliamentary Group on Retail Crime,"To highlight the cost of retail crime to the high street (£600 million a year), improve understanding of how this type of crime affects small businesses and what impact incidents of retail crime will have on our high streets if left unchecked.",Subject
All-Party Parliamentary Group for Reuniting Britain Post-Brexit,"To drive forward a cross-party conversation on policy solutions to help heal and bridge the divisions exposed by the EU referendum. More specifically, the APPG will focus on three core themes, reflecting the three main fractures that the EU referendum exposed: intergenerational division and unfairness in the 21st century; the difference of views between graduates and non-graduates; and inequality between young citizens in cities on the one hand and in towns and rural areas on the other.",Subject
River Thames All-Party Parliamentary Group,"To unite River Thames riparian parliamentarians to improve, protect, promote and enhance flood risk management, navigation, moorings, sport, recreation, environment, planning, tourism and education. To enhance and increase access, safety, information, employment, facilities, services, infrastructure, value and use of the entire river and its corridor environs from source to sea.",Subject
All-Party Parliamentargy Group on Road Freight and Logistics,To promote and represent the interests of the UK road haulage and logistics industries and provide a forum to discuss the opportunities and challenges.,Subject
All-Party Parliamentary Group on the Rights of the Rohingya,"In recognising the persecution, murder and other atrocities committed against the Rohingya, the group will work towards protecting and enhancing the human rights and status of the Rohingya, and will assess and scrutinise any repatriation agreement made between Bangladesh and Myanmar.",Subject
All-Party Parliamentary Group on the Role of the House of Lords,To promote informed debate and build consensus on reforms in the House of Lords.,Subject
All-Party Parliamentary Group for Rowing,To support the sport of rowing.,Subject
All-Party Parliamentary Rugby League Group,To support the sport of rugby league football.,Subject
All-Party Parliamentary Group on Rugby Union,To promote the sport of rugby union.,Subject
All-Party Parliamentary Commons and Lords Rugby Union Football Club Group,"To play and promote the sport of rugby union within Parliament, between national parliaments, within the community and for charitable purposes.",Subject
All-Party Parliamentary Group on the Rule of Law,"To promote parliamentary and public discussion of the rule of law as a practical concept, and to mainstream the importance of the rule of law in Parliament.",Subject
All-Party Parliamentary Group for Runaway and Missing Children and Adults,"To raise awareness about the level of risk of harm to children, young people and vulnerable adults who go missing from home or care.",Subject
All-Party Parliamentary Group on Running,To encourage running as a sport nationally; to support constituency running and athletics clubs; and to help employers and businesses of all sizes to encourage running in the workplace.,Subject
All-Party Parliamentary Group for Rural Business,To champion rural business and promote good policy outcomes for those who run rural enterprises.,Subject
All-Party Parliamentary Group on Rural Crime,"To bring colleagues together to look at ways of better tackling rural crime. There are many crimes that are particular to rural areas, as well as specific challenges to addressing crime in remote communities. The APPG will be looking at the issue from prevention to policing to prosecution.",Subject
All-Party Parliamentary Group on Rural Health and Social Care,To develop evidence-based policy recommendations for the government on the rural health (both mental and physical) and social care economy of England.  Current models are not suited to rural areas with sparse populations and a disproportionate number of over 85s with comorbidities including isolation and other mental health problems.,Subject
All-Party Parliamentary Group for Rural Services,To promote a debate on the provision of rural services and to issue periodic reports.,Subject
All-Party Parliamentary Group on Safeguarding in Faith Settings,"To focus on safeguarding concerns relevant to any community of faith, belief or religion. To raise awareness and improve policy and practice in relation to safeguarding in faith settings and to encourage both the opportunity and responsibility of those faith groups and coummunities in creating safer places for all.",Subject
All-Party Parliamentary Group for Professional Sales,"To improve recognition by Parliament and industry of the importance of sales and its impact on the UK economy; to promote and advance sales as a profession; to boost the success of British industry, especially in international trade.",Subject
All-Party Parliamentary Group on School Food,"To provide a parliamentary forum for the discussion of all matters of food education in schools and other settings; to push the issue of school food up the political agenda on a cross-party basis; and to provide a forum through which external organisations concerned in matters related to school food, child hunger and food education can share best practice and establish shared positions and priorities.",Subject
All-Party Parliamentary Group on Science and Technology in Agriculture,To provide a forum for parliamentarians and stakeholders to debate and highlight the value of science and technology in agriculture.,Subject
Parliamentary and Scientific Committee (an All-Party Parliamentary Group),"To be a primary focus for scientific and technological issues, providing a long-term liaison between parliamentarians and scientific bodies, science-based industry and the academic world.",Subject
All-Party Parliamentary Group on Scotch Whisky,To promote and facilitate communication and understanding between representatives of the Scotch Whisky industry and MPs.,Subject
All-Party Parliamentary Group for Scottish Sport,To discuss and advance issues of importance to Scottish sport by complementing the work of the Scottish government and all Scottish governing bodies.,Subject
"All-Party Parliamentary Group on Self-Build, Custom and Community Housebuilding and Place-Making","To promote self-build, custom and community house building as means of delivering new homes in both small numbers and at scale; and to promote more active consideration of place-making in new development, including group builds, garden villages and other innovative schemes.",Subject
All-Party Parliamentary Group on Sepsis,"To provide a medium through which parliamentarians, organisations and those affected by Sepsis can discuss the current provision for the illness, which claims 44,000 lives in the UK every year, promote public understanding and advocate for simple, timely interventions to be implemented as standard across the NHS.",Subject
All-Party Parliamentary Group on Sex Equality,To campaign for the advancement of sex equality in the UK.,Subject
All-Party Parliamentary Group on Sexual and Reproductive Health,The All-Party Parliamentary Group on Sexual and Reproductive Health in the UK aims to raise awareness in Parliament of the needs of women seeking abortion and the importance of improving all aspects of the sexual health of women and men in the UK.,Subject
All-Party Parliamentary Group on the Impact of Shale Gas,"To explore and debate legislation, policy, regulation and data regarding shale gas exploration and extraction in the UK and abroad.",Subject
All-Party Parliamentary Group on Shared Ownership Housing,"To bring together MPs and Peers of all parties with policy makers, business leaders and industry experts, to discuss and promote shared ownership, its potential to increase housing supply, and to protect shared ownership customers.",Subject
All-Party Parliamentary Group on Shipbuilding and Ship Repair,The group is concerned with shipbuilding and ship repair industry in the UK.,Subject
All-Party Parliamentary Group for Shooting and Conservation,To discuss and promote the interests and issues regarding shooting and conservation.,Subject
All-Party Parliamentary Group on the Short Lets Sector,"To provide a forum for parliamentarians, short-let platforms, local authorities and other affected sectors to discuss issues arising from the growing short-lets market; and to advise on ways in which to optimise the positive contributions of this sector and avoid undesired impacts.",Subject
Sickle Cell and Thalassaemia All-Party Parliamentary Group,To raise awareness of issues facing Sickle Cell and Thalassaemia patients in the UK.,Subject
All-Party Parliamentary Group on UK Sikhs,"To support and promote the interests of Sikhs in the UK, to work with British Sikhs to celebrate Sikh culture in the UK, and to ensure full equality for all British Sikhs.",Subject
All-Party Parliamentary Group on Single Parent Families,To provide a forum for discussion of issues facing single parents and to promote consideration of single parents in the national legislative agenda.,Subject
All-Party Parliamentary Group for Sixth Form Colleges,To promote and support the interests of designated sixth form colleges and to advise government on the challenges facing the sector.,Subject
All-Party Parliamentary Group for Skills and Employment,"The APPG is a coalition of UK parliamentarians from all parties, devoted to raising the profile and status of skills and employment policy in the UK. The group works to promote and develop effective skills policy as a central means of personal and economic development.",Subject
All-Party Parliamentary Group on Skin,"To raise awareness of skin conditions in Parliament, improve treatment for patients with skin disease, improve efficiency in service commissioning and increase the number of dermatologists within the NHS.",Subject
All-Party Parliamentary Group for Small and Micro Business,To raise awareness of small and micro business issues in parliament.,Subject
All-Party Parliamentary Small Shops Group,To raise awareness of the positive economic and social contribution of small shops and the areas of public policy that affect them.,Subject
All-Party Parliamentary Group for SME (Small and Medium-sized Enterprises) House Builders,"To examine the operations of SME (Small and Medium-sized Enterprises) House Builders in the UK; discover and highlight best practice; review the regulatory environment affecting the market, looking at ways of improving the delivery of new homes, and making recommendations on how Parliament can improve regulation to deliver more effective building of homes by SMEs.",Subject
All-Party Parliamentary Group on Smoking and Health,To monitor and discuss the health and social effects of smoking; to review potential changes to existing legislation to reduce levels of smoking; to assess the latest medical techniques to assist smoking cessation; to act as a resource for the group's members on issues relating to smoking and public health.,Subject
All-Party Parliamentary Group for Snooker,To support the sport of snooker.,Subject
All-Party Parliamentary Group on Social Care,"To provide a forum for parliamentarians to discuss the world of social care and related public policy; to promote awareness in Parliament of the realities of the social care sector for employees, employers and care recipients, and to set an agenda that seeks to explore the most urgent aspects of the sector; such as funding, professionalisation and standards.",Subject
All-Party Parliamentary Group for Social Enterprise,"To showcase social enterprises, and discuss issues important to the social enterprise sector.",Subject
All-Party Parliamentary Group on Social Integration,To drive forward a cross-party conversation on policy solutions to break down barriers to integration and create opportunities for people from all walks of life to build bonds of trust.,Subject
All-Party Parliamentary Group on Social Media,"To build upon the evidence base of the impact of social media upon mental health and wellbeing; to raise the political profile of the issue; and to drive policy change that supports innovation, mitigates the negatives and maximises the positives of social media.",Subject
All-Party Parliamentary Group on Social Mobility,To discuss and evaluate key issues and indicators of social mobility and barriers to it. To hold seminars and meetings to present and highlight the latest research on social mobility.,Subject
All-Party Parliamentary Group on Social Work,To promote knowledge and understanding of social work.,Subject
All-Party Parliamentary Group for the Great South West,"To promote the economic and social advancement of the South West region as a great place to live, work and do business.",Subject
All-Party Parliamentary Group on Southern Rail,"To scrutinise the operation and performance of the Southern Rail franchise with a view to ensuring service improvement by the franchise. The group will act for the best interests of passengers by providing challenge to all organisations, including the government, which have a bearing on operational performance.",Subject
Parliamentary Space Committee (an All-Party Parliamentary Group),"To raise awareness in Parliament of the importance and opportunities of space based capabilities to the UK economy, policy making, society and the space community; to highlight and promote the benefits from the UK's investment in space and its leading role within the global space economy.",Subject
All-Party Parliamentary Group on Speech and Language Difficulties,To make Parliament aware that the ability to communicate is a crucial life skill for all; to increase awareness about the impact communication difficulties have on other people's lives; to highlight the importance of early identification and intervention; and to press for increased provision of speech and language therapy.,Subject
All-Party Parliamentary Group on Spinal Cord Injury,"To look at specific issues being faced by Spinal Cord Injury (SCI) people, particularly relating to medical treatment, care, support and developments in treatments as, well as social care and wider issues that affect the lives of SCI people.",Subject
All-Party Parliamentary Group for Sport,"To be the central, constructive, cross-party voice for sport in Parliament.",Subject
"All-Party Parliamentary Group on Sport, Modern Slavery and Human Rights","To find solutions to pressing human rights problems affecting large-scale sporting events around the world, with a focus on three specific areas: the human rights impacts of the cycle of mega-sporting events, the impacts of the UK Modern Slavery Act on professional sport companies, and discrimination in sport in all its forms.",Subject
St George's Day All-Party Parliamentary Group,"To promote 23rd April as an annual celebration of England and the country's patron saint, St George, and to campaign for St George's Day to be established as a public holiday for the people of England.",Subject
All-Party Parliamentary Group on State Pension Inequality for Women,To provide a cross-party forum in which to hold the government to account on the issue of transitional arrangements to compensate 1950s-born women who are affected by changes to the state pension age and to campaign on issues around the state pension age.,Subject
All-Party Parliamentary Group on Steel and Metal Related Industries,"To ensure a fair deal for the UK steel and metal related industries by liaising with and lobbying the government, to raise the profile of cultural, environmental and social issues in the industry and its communities, and to research and develop policies which will promote thriving steel and cast metal industries in the UK.",Subject
All-Party Parliamentary Group on Stem Cell Transplantation,To inform parliamentarians about the use of stem cell transplantation in saving lives; to facilitate debate and scrutiny on the collection and use of adult stem cells and umbilical cord blood in the UK; and to promote the expansion of stem cell donation in the UK.,Subject
All-Party Parliamentary Group on Street Children,"To work to protect and promote the rights of street children worldwide and to raise awareness of the various issues they face. This work includes receiving reports of human rights violations against children globally and communicating concerns to parliamentarians, ambassadors and governments.",Subject
All-Party Parliamentary Group on Strengthening the Union,To be an avenue of communication between like-minded unionist parliamentarians from throughout the UK;  to provide an opportunity to examine the strength of the 'case for the Union'; to discuss the challenges facing Unionism; and to discuss strategic priorities in anticipation of Northern Ireland's centenary.,Subject
All-Party Parliamentary Group on Students,"To provide a forum for all parliamentarians to develop greater understanding of the range of issues affecting students in further and higher education. To ensure that student views and experiences are heard in Parliament, facilitate interaction between students and MPs and Peers, and ensure education policy is student-focused and student-led.",Subject
All-Party Parliamentary Group on Suicide and Self-Harm Prevention,To raise awareness within Parliament and encourage discussion and debate of all issues involved in suicide and self-harm prevention.,Subject
All-Party Parliamentary Groups on Surgical Mesh Implants,"To raise the profile of mesh and the plight of mesh injured women, campaign for compensation for mesh-injured women, advocate for the use of mesh only as a third line of treatment once conservative methods have failed and when non-mesh surgery has failed, and campaign for a continence care pathway with physiotherapy at its heart to ensure pelvic floor health is prioritised.",Subject
All-Party Parliamentary Group on Surrogacy,"To fully review our surrogacy laws, encourage and promote debate on the issues, facilitate further research into how surrogacy is conducted, bring the law into line with modern social realities, and encourage domestic surrogacy in the first instance.",Subject
All-Party Parliamentary Group for Sustainable Clothing and Textiles,To encourage sustainability in the clothing and textile industry.,Subject
All-Party Parliamentary Sustainable Resource Group,"To develop a deeper understanding between government, parliament and the sustainable resource management sector of the sustainable management of waste.",Subject
All-Party Parliamentary Group on Swimming,To promote indoor and outdoor swimming at all levels.,Subject
All-Party Parliamentary Group for Tamils,To promote in Parliament peace with justice and dignity for Tamils in the Island of Sri Lanka and advance their development so as to recognise their legitimate socio-political aspirations.,Subject
All-Party Parliamentary Group on Taxation,"To look at and understand tax policy and taxation on all levels including simplification and digitalisation, EU Brexit and its impact on the UK’s taxation system, and international taxation. To work in partnership with HM Treasury to create a 'safe space' for Parliamentarians and interested stakeholders to meet, discuss and develop innovative proposals to reform, simplify and make the UK’s taxation system fairer.",Subject
All-Party Parliamentary Group on Taxis,To support and promote the interests of the taxi trade in parliament.,Subject
All-Party Parliamentary Group on Technology Addiction,"To create a forum for MPs to engage with technology companies and stakeholders regarding traits of addiction to, and addictive features designed in, consumer technology.",Subject
All-Party Parliamentary Group for Terminal Illness,"To raise awareness in Parliament of terminal illness and promote links between Parliament, individuals and families affected, charities, scientists, health professionals and decision makers.",Subject
All-Party Parliamentary Group on Test of English for International Communication,"The APPG represents students whose visas have been refused, revoked or curtailed due to allegations of cheating in the Test of English for International Communication on the basis of doubtful evidence provided by the US testing firm, ETS.",Subject
All-Party Parliamentary Group on Textiles and Fashion,"To promote the significance of the UK textile and fashion industry across the world, supporting its development as an integral part of our economy.",Subject
All-Party Parliamentary Group for Thalassaemia,To raise awareness of the blood disorder known as thalassaemia and to encourage policy changes that will support patients with this condition.,Subject
Thalidomide All-Party Parliamentary Group,To provide support to those whose lives were affected by exposure to the drug Thalidomide.,Subject
All-Party Parliamentary Group for Theatre,"To support the resilience and relevance of theatre in the UK for audiences, society and the industry.  To identify and debate potential opportunities and issues for theatre in the UK.  To support parliamentarians' understanding of the theatre and performing arts industry at a national and local level.",Subject
All-Party Parliamentary Group on Third World Solidarity,"To work for peace, justice, tolerance, human rights and democracy in the third world.",Subject
All-Party Parliamentary Thrombosis Group,"To promote awareness amongst parliamentarians about the risk and management of venous thromboembolism (VTE); to increase knowledge of its causes, effects, and treatments; and to monitor the implementation of government initiatives and other research being undertaken.",Subject
All-Party Parliamentary Group on Ticket Abuse,"To promote and provide a forum for the discussion of issues relating to the sale and resale of tickets, for events, with a particular focus on devising solutions to the problem of ticket touting.",Subject
Tidy Britain All-Party Parliamentary Group,To discuss issues related to litter and local environmental quality; to raise these issues on the parliamentary agenda and to provide a forum for an exchange of views between parliamentarians and those with local environmental quality issues.,Subject
All-Party Parliamentary Group for the Timber Industries,To help grow the use of timber and develop vibrant timber based industries across the whole supply chain in the UK.,Subject
"All-Party Parliamentary Group for Tourism, Leisure and the Hospitality Industry",To advance the benefits of tourism to the UK economy.,Subject
All-Party Parliamentary Group for Town Centres,"To promote parliamentary and public understanding of the important role of town and city centres and their management as a key mechanism for co-ordinated action, fostering public and private sector dialogue and co-operation in order to build environments that are healthy, sustainable and socially inclusive.",Subject
All-Party Parliamentary Group on Trade Justice,"To raise the profile of trade justice issues in Parliament, including how the international trade system affects the environment, human and social rights, rule of law and democracy. To inform and educate MPs and Peers about UK trade and investment policy and key issues in international trade.",Subject
All-Party Parliamentary Group on Trade out of Poverty,"The group organises seminars, inquiries, research and education campaigns to raise awareness in Parliament, and in the wider development community, on removing barriers to trade and using trade as an engine for development in poor countries. as an engine for development in poor countries.",Subject
Al-party Parliamentary Group on Trailer and Towing Safety,"To bring together parliamentarians, industry representatives and consumer groups to discuss and raise awareness of trailer and towing safety in the UK.",Subject
All-Party Parliamentary Group on Transatlantic Trade,"To provide a focus for UK parliamentary cross-party support for a comprehensive transatlantic trade and investment agreement; to contribute to greater public debate and understanding of potential benefits and drawbacks for British consumers, workers, businesses; to strengthen parliamentary and public scrutiny to help secure a successful agreement.",Subject
All-Party Parliamentary Group onTransport Across the North,A dedicated cross-party forum to promote discussion and investment in all modes of transport across the North of England and to provide better opportunities for MPs representing Northern constituencies to meet with senior officials and receive briefings from Transport for the North.,Subject
All-Party Parliamentary Group on Treatment of Addiction,"To develop and promote policies which ensure individuals, families and communities affected by addiction have the services and resources necessary to overcome challenges caused by addiction in the immediate and long-term.",Subject
All-Party Parliamentary Group on Global Tuberculosis,To accelerate the progress towards ending the TB epidemic.,Subject
United Nations All-Party Parliamentary Group,"To support the aims and ideals of the United Nations. The group's objective is to raise awareness among parliamentarians about the UN, including its contributions to peace and security, development and human rights; international law; and the relevance of the organisation to the British citizens.",Subject
All-Party Parliamentary Group on the United Nations Global Goals for Sustainable Development,To promote the United Nations Global Goals for Sustainable Development and monitor their implementation.,Subject
All-Party Parliamentary Group on Universal Credit,To monitor Universal Credit as it is rolled out; to share best practice in supporting constituents; and to make recommendations to government to improve policy.,Subject
All-Party Parliamentary University Group,To be the main avenue of communication between parliamentarians and vice-chancellors of the UK's universities; and to provide an opportunity to examine issues affecting the country's university sector and university research which is influencing public policy and higher level skills.,Subject
All-Party Parliamentary Group on Friends of the University of Hull,"To promote the University of Hull as a local, national and global centre of teaching, learning and research excellence and a vital contributor to the local community and economy of the Humber region and beyond.",Subject
All-Party Parliamentary Group on Unpaid Work Trials,To investigate and report on the use of unpaid trial shifts at the outset of employment.,Subject
All-Party Parliamentary Group on Vaccinations for All,"To raise the political profile of the importance of routine vaccinations both around the world, and within the UK; and to encourage government to provide leadership and sustainable funding on confronting the challenges of ensuring equitable access to vaccines to everyone, no matter where they live.",Subject
All-Party Parliamentary Group for Valproate and other Anti-Epileptic Drugs in Pregnancy,To raise Government awareness of the dangers of Valproate and other Anti-Epileptic Drugs in pregnancy and to support and advocate for those harmed by the drugs taken by the mother in pregnancy.,Subject
All-Party Parliamentary Group for Vaping,To explore the most appropriate parliamentary and regulatory response to e-cigarettes and to raise education and literacy amongst policy makers regarding e-cigarettes and related public policy questions.,Subject
All-Party Parliamentary Group on Vascular and Venous Disease,"To raise awareness of vascular and venous disease and to encourage actions to promote a greater priority for its prevention and treatment; to encourage research into the causes of vascular and venous disease; to advance excellence and innovation in vascular and venous disease, and related cardiovascular conditions.",Subject
All-Party Parliamentary Group on Vegetarianism and Veganism,"To provide a forum for parliamentarians, academics, organisations and interested individuals to meet to promote and raise awareness of vegetarianism and veganism and to discuss issues relating to vegetarian and vegan lifestyles.",Subject
Veterans All-Party Parliamentary Group,"To maintain a strong focus from government and policy makers on the importance of veterans, young and old, to our communities and way of life and to work with the relevant service organisations to build a strong profile to enhance our work supporting veterans.",Subject
All-Party Parliamentary Group on Victims of Crime,To monitor and inform the government's victims strategy and try to ensure that it is as robust and all-inclusive as possible.,Subject
All-Party Parliamentary Group on Video Games and Esports,"To work with the games and interactive entertainment industry, including with its trade body UK Interactive Entertainment, to promote the industry's economic, technological and cultural contributions within Parliament.",Subject
All-Party Parliamentary Group on Visas and Immigration,The APPG on visas and immigration will focus on these specific issues and examine potential changes that could be introduced.,Subject
All-Party Parliamentary Group on Votes at 16,"To strengthen the cross-party case for lowering the voting age to 16 by acting as a discussion forum for politicians, the youth sector and experts to develop policy and research.",Subject
All-Party Parliamentary Group on War Heritage,"To promote and support the protection, conservation and interpretation of war graves, war memorials and battlefield sites.",Subject
All-Party Parliamentary Water Group,To provide a focus for members to monitor government and regulatory policy and maintain a dialogue with consumers and those with an interest or a duty in relation to the environment and the water industry.,Subject
All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,Subject
All-Party Parliamentary Group on Water Safety and Drowning Prevention,To raise awareness of the issue of death by drowning in the UK and to provide a forum for discussion on water safety related issues.,Subject
