title,purpose,category,benefit_source,benefit_description,benefit_value_lower,benefit_value_higher,benefit_received,benefit_registered
All-Party Parliamentary Group on Policing and Security,To promote better understanding of policing and security issues amongst both Houses of Parliament.,Subject,Association of Police and Crime Commissioners,Secretariat From 17/07/2019 To 16/07/2020,4501,6000,2019-07-17,2019-10-28
"All-Party Parliamentary Group  on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Subject,United Nations Population Fund,"Met costs for two members and advisor to attend conference in Ottawa, Canada From 21/10/2018 To 24/10/2018",4501,6000,2018-10-21,2018-11-21
"All-Party Parliamentary Group  on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Subject,European Parliamentary Forum on Sexual and Reproductive Rights,Met costs for a member to attend the Women Deliver Conference in Vancouver From 02/06/2019 To 06/06/2019,1501,3000,2019-06-02,2019-06-11
"All-Party Parliamentary Group  on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Subject,European Parliamentary Forum on Sexual and Reproductive Health,"Met costs to allow a member of the group to attend 3 events held between June and July 2019 in Zambia, Belgium and Armenia",1501,3000,2019-07-10,2019-07-18
"All-Party Parliamentary Group  on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Subject,International Planned Parenthood Federation,Reception held on 10 July 2019,7501,9000,2019-07-10,2019-07-22
"All-Party Parliamentary Group for Post-Brexit Funding for Nations, Regions and Local Areas",The EU is the largest financial contributor to UK regional development. After Brexit the government will establish a UK Shared Prosperity Fund. The APPG intends to shape thinking and engage in the details of the fund and new system of regional funding and policies after Brexit.,Subject,Industrial Communities Alliance,Secretariat From 26/06/2019 To 25/06/2020,4501,6000,2019-06-26,2019-07-24
All-Party Parliamentary Group on Poverty,"To provide awareness of the impact of poverty, its causes and consequences, and to encourage the spread of good practice to alleviate and eliminate it.",Subject,The Equality Trust,Secretariat From 10/10/2018 To 09/10/2019,3001,4500,2018-10-10,2019-02-25
All-Party Parliamentary Group on Poverty,"To provide awareness of the impact of poverty, its causes and consequences, and to encourage the spread of good practice to alleviate and eliminate it.",Subject,Child Poverty Action group,Secretariat From 10/10/2018 To 09/10/2019,3001,4500,2018-10-10,2019-02-25
All-Party Parliamentary Group for Prescribed Drug Dependence,"Increasing numbers of prescriptions for psychoactive drugs are being given to both adults and children, with growing evidence that long-term use leads to worse outcomes. The group will recognise, address and reduce the harm caused by dependence upon these medications.",Subject,Council for Evidence-Based Psychiatry,Secretariat From 12/09/2019 To 11/09/2020,1501,3000,2019-09-12,2019-10-30
All-Party Parliamentary Group on Print,To provide a forum in which issues impacting on the printing industry may be debated; to promote understanding of those issues and of the industry; and to raise the profile of the printing industry among parliamentarians.,Subject,British Printing Industries Federation,Secretariat From 06/09/2018 To 05/09/2019,4501,6000,2018-09-06,2018-12-27
All-Party Parliamentary Group for the Private Rented Sector,"To raise greater awareness of the private rented housing sector in Parliament; to provide a forum for parliamentarians to discuss issues pertinent to the sector and engage with ministers, landlords, tenants and other interested parties; and to hold inquiries into policy and operational issues on the sector and produce reports.",Subject,The Public Affairs Company,Residential Landlords Association pays The Public Affairs Company to act as the group's secretariat. From 13/09/2018 To 12/09/2019,10501,12000,2018-09-13,2018-10-25
All-Party Parliamentary Pro-Life Group,"To provide a forum for discussion of pro-life issues including abortion, euthanasia and research upon the human embryo.",Subject,Right to Life Charitable Trust,Research services From 12/09/2019 To 11/09/2020,9001,10500,2019-09-12,2019-10-23
All-Party Parliamentary Group on Prostitution and the Global Sex Trade,"To raise awareness of the impact of the sale of sexual services on those involved and develop proposals for government action; to tackle individuals who create demand for sexual services and those who control prostitution; to protect prostituted women, helping them to exit prostitution; and to prevent girls entering prostitution.",Subject,UK Feminista,Secretariat From 13/09/2018 To 12/09/2019,7501,9000,2018-09-13,2018-11-05
All-Party Parliamentary Group on Psychology,"To raise awareness amongst parliamentarians and policymakers of the importance and relevance of psychology, combining research and best practice briefings to ensure that MPs have access to a psychological evidence- based approach to policy development.",Subject,The British Psychological Society,The British Psychological Society acts as the group's secretariat and pays WA Communications to help it fulfil this role. From 11/07/2019 To 10/07/2020,37501,39000,2019-07-11,2019-11-05
All-Party Parliamentary Group on Public Legal Education and Pro Bono,"To promote pro bono work and public legal education (PLE) nationally and internationally, to provide a forum for parliamentarians to work with the legal sector to foster a supportive policy environment for PLE and pro-bono, and encourage/raise awareness of initiatives to improve legal capability and free legal services provision.",Subject,LawWorks,Secretariat From 21/07/2018 To 20/07/2019,7501,9000,2018-07-21,2018-02-13
All-Party Parliamentary Group on Race and Community,To increase the coverage of race and equality issues in Parliament; to update members on race equality issues and up-to-date research; and to connect the group with race equality organisations.,Subject,Runnymede Trust,Secretariat From 12/09/2019 To 11/09/2020,4501,6000,2019-09-12,2019-07-12
All-Party Parliamentary Racing and Bloodstock Industries Group,To promote the racing and bloodstock industries within Parliament; to inform members of both Houses about the industries; and to service the well-being of the industries.,Subject,Ladbrokes Coral,Reception held 18/12/2018,1501,3000,2018-12-18,2019-05-08
All-Party Parliamentary Group on Radiotherapy,"To provide an effective voice for radiotherapy and improve access to radiotherapy for cancer patients, ensuring no-one had to travel more than 45 minutes to their nearest radiotherapy unit. To ensure radiotherapy receives increased funding so that patients are allowed to have the best radiotherapy for their individual cancer.",Subject,Action Radiotherapy,Secretariat From 22/05/2019 To 21/05/2020,7501,9000,2019-05-22,2019-06-18
All-Party Parliamentary Rail in the North Group,"To provide a forum for parliamentarians to consider and discuss the strategic rail network in the north of England and to raise awareness of these issues in Parliament, and with stakeholders.",Subject,Freshwater UK,Secretariat From 11/07/2019 To 10/07/2020,15001,16500,2019-07-11,2019-11-04
"All-Party Parliamentary Group on Rare, Genetic and Undiagnosed Conditions","To increase awareness in Parliament of rare, genetic and undiagnosed conditions and help to ensure that patients and families affected by those conditions have access to appropriate care and support.",Subject,Genetic Alliance UK,Secretariat From 11/10/2018 To 10/10/2019,22501,24000,2018-10-11,2019-03-25
All-Party Parliamentary Group on Refugees,"To provide a forum for the discussion of issues relating to refugees, both in the UK and abroad, and to promote the welfare of refugees.",Subject,Refugee Council,Secretariat From 11/07/2019 To 10/07/2020,3001,4500,2019-07-11,2019-10-29
All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Subject,Aid to the Church in Need,"Accommodation, flights and food costs for a visit to Lebanon From 02/01/2019 To 07/01/2019",9001,10500,2019-01-02,2019-02-12
All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Subject,Brunel Law School,"Accommodation, flights, visa, travel and food costs for a visit to Pakistan (Lahore and Islamabad) From 27/09/2018 To 04/10/2018",1501,3000,2018-09-27,2019-05-10
All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Subject,Pakistani National Commission for Human Rights,"Accommodation, travel and food costs during a visit to Pakistan (Lahore and Islamabad) From 01/10/2018 To 04/10/2018",1501,3000,2018-10-01,2019-05-10
All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Subject,National Public Affairs Council of The Church of Jesus Christ of Latter Day Saints,Administrative assistance for APPG members From 01/04/2019 To 31/05/2019,1501,3000,2019-04-01,2019-07-03
All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Subject,National Public Affairs Council of The Church of Jesus Christ of Latter Day Saints,Administrative assistance for APPG members From 01/06/2019 To 31/07/2019,1501,3000,2019-06-01,2019-08-07
All-Party Parliamentary Group for Renewable and Sustainable Energy,To promote sustainable energy issues in Parliament and across the wider political community.,Subject,PRASEG Ltd,Secretariat From 06/09/2017 To 05/09/2018,24001,25500,2017-09-06,2017-09-08
All-Party Parliamentary Group on Responsible Tax,"How can Parliament help to build and maintain the fair, sustainable and transparent tax system that is needed if individuals, businesses and markets are to create growth and prosperity both in the UK and internationally?",Subject,King's College London,1. King's College London is funded by Joffe Charitable Trust and Chartered Institute of Public Finance & Accountancy to act as the group's secretariat From 10/07/2018 To 09/07/2019,15001,16500,2018-07-10,2018-11-28
All-Party Parliamentary Group on Responsible Tax,"How can Parliament help to build and maintain the fair, sustainable and transparent tax system that is needed if individuals, businesses and markets are to create growth and prosperity both in the UK and internationally?",Subject,King's College London,2. King's College London is funded by Joffe Charitable Trust and Chartered Institute of Public Finance & Accountancy to provide research services to the group From 10/07/2018 To 09/07/2019,15001,16500,2018-07-10,2018-11-28
All-Party Parliamentary Group on Responsible Tax,"How can Parliament help to build and maintain the fair, sustainable and transparent tax system that is needed if individuals, businesses and markets are to create growth and prosperity both in the UK and internationally?",Subject,Chartered Institute of Public Finance & Accountancy,3. Communications and website development From 10/07/2018 To 09/07/2019,1501,3000,2018-07-10,2018-11-28
All-Party Parliamentary Group on Retail Crime,"To highlight the cost of retail crime to the high street (£600 million a year), improve understanding of how this type of crime affects small businesses and what impact incidents of retail crime will have on our high streets if left unchecked.",Subject,National Federation of Retail Newsagents,Secretariat From 14/05/2019 To 13/05/2020,1501,3000,2019-05-14,2019-06-11
All-Party Parliamentary Group for Reuniting Britain Post-Brexit,"To drive forward a cross-party conversation on policy solutions to help heal and bridge the divisions exposed by the EU referendum. More specifically, the APPG will focus on three core themes, reflecting the three main fractures that the EU referendum exposed: intergenerational division and unfairness in the 21st century; the difference of views between graduates and non-graduates; and inequality between young citizens in cities on the one hand and in towns and rural areas on the other.",Subject,My Life My Say,Secretariat From 18/07/2019 To 17/07/2020,1501,3000,2019-07-18,2019-07-19
River Thames All-Party Parliamentary Group,"To unite River Thames riparian parliamentarians to improve, protect, promote and enhance flood risk management, navigation, moorings, sport, recreation, environment, planning, tourism and education. To enhance and increase access, safety, information, employment, facilities, services, infrastructure, value and use of the entire river and its corridor environs from source to sea.",Subject,River Thames Alliance Co Ltd,Secretariat From 04/07/2019 To 03/07/2020,1501,3000,2019-07-04,2019-10-23
All-Party Parliamentargy Group on Road Freight and Logistics,To promote and represent the interests of the UK road haulage and logistics industries and provide a forum to discuss the opportunities and challenges.,Subject,Tendo Consulting,Tendo Consulting is paid by the Road Hauliers Association to act as the group's secretariat. From 20/11/2018 To 19/11/2019,10501,12000,2018-11-20,2018-12-17
All-Party Parliamentary Group for Rowing,To support the sport of rowing.,Subject,MR Sport,Secretariat From 11/07/2018 To 10/07/2019,6001,7500,2018-07-11,2017-09-13
All-Party Parliamentary Group on the Rule of Law,"To promote parliamentary and public discussion of the rule of law as a practical concept, and to mainstream the importance of the rule of law in Parliament.",Subject,Bingham Centre for the Rule of Law,Bingham Centre for the Rule of Law is funded by The Legal Education Foundation to act as the group's secretariat From 04/07/2019 To 03/07/2020,22501,24000,2019-07-04,2019-07-31
All-Party Parliamentary Group for Runaway and Missing Children and Adults,"To raise awareness about the level of risk of harm to children, young people and vulnerable adults who go missing from home or care.",Subject,Missing People,Secretariat From 10/07/2018 To 09/07/2019,1501,3000,2018-07-10,2018-10-15
All-Party Parliamentary Group for Runaway and Missing Children and Adults,"To raise awareness about the level of risk of harm to children, young people and vulnerable adults who go missing from home or care.",Subject,The Children's Society,Secretariat From 10/07/2018 To 09/07/2019,1501,3000,2018-07-10,2018-10-15
All-Party Parliamentary Group on Rural Health and Social Care,To develop evidence-based policy recommendations for the government on the rural health (both mental and physical) and social care economy of England.  Current models are not suited to rural areas with sparse populations and a disproportionate number of over 85s with comorbidities including isolation and other mental health problems.,Subject,National Centre for Rural Health and Care,"Logistical, transcribing and printing services for an ongoing inquiry From 25/10/2018 To 24/10/2019",21001,22500,2018-10-25,2018-11-08
All-Party Parliamentary Group for Rural Services,To promote a debate on the provision of rural services and to issue periodic reports.,Subject,Rural Services Network,Secretariat From 07/09/2018 To 06/09/2019,3001,4500,2018-09-07,2018-12-19
All-Party Parliamentary Group for Professional Sales,"To improve recognition by Parliament and industry of the importance of sales and its impact on the UK economy; to promote and advance sales as a profession; to boost the success of British industry, especially in international trade.",Subject,Association of Professional Sales,Secretariat From 11/06/2019 To 10/06/2020,1501,3000,2019-06-11,2019-06-26
All-Party Parliamentary Group on School Food,"To provide a parliamentary forum for the discussion of all matters of food education in schools and other settings; to push the issue of school food up the political agenda on a cross-party basis; and to provide a forum through which external organisations concerned in matters related to school food, child hunger and food education can share best practice and establish shared positions and priorities.",Subject,Association for Public Service Excellence,Secretariat From 04/07/2019 To 03/07/2020,3001,4500,2019-07-04,2019-11-04
All-Party Parliamentary Group on Science and Technology in Agriculture,To provide a forum for parliamentarians and stakeholders to debate and highlight the value of science and technology in agriculture.,Subject,Front Foot Communications Ltd,Secretariat From 11/07/2018 To 10/07/2019,16501,18000,2018-07-11,2018-11-01
All-Party Parliamentary Group on Scotch Whisky,To promote and facilitate communication and understanding between representatives of the Scotch Whisky industry and MPs.,Subject,Scotch Whisky Association,Secretariat From 05/07/2019 To 04/07/2020,1501,3000,2019-07-05,2019-10-31
"All-Party Parliamentary Group on Self-Build, Custom and Community Housebuilding and Place-Making","To promote self-build, custom and community house building as means of delivering new homes in both small numbers and at scale; and to promote more active consideration of place-making in new development, including group builds, garden villages and other innovative schemes.",Subject,National Custom and Self-Build Association,Secretariat From 04/07/2018 To 03/07/2019,1501,3000,2018-07-04,2018-11-05
All-Party Parliamentary Group on Sepsis,"To provide a medium through which parliamentarians, organisations and those affected by Sepsis can discuss the current provision for the illness, which claims 44,000 lives in the UK every year, promote public understanding and advocate for simple, timely interventions to be implemented as standard across the NHS.",Subject,PB Consulting,"PB Consulting works with the UK Sepsis Trust as the APPG’s secretariat, from grants received from the Cerner Corporation and Becton Dickinson & Company From 18/07/2019 To 17/07/2020",19501,21000,2019-07-18,2019-11-04
All-Party Parliamentary Group on Sepsis,"To provide a medium through which parliamentarians, organisations and those affected by Sepsis can discuss the current provision for the illness, which claims 44,000 lives in the UK every year, promote public understanding and advocate for simple, timely interventions to be implemented as standard across the NHS.",Subject,UK Sepsis Trust,UK Sepsis Trust works with PB Consulting as the APPG’s secretariat From 18/07/2019 To 17/07/2020,22501,24000,2019-07-18,2019-11-04
All-Party Parliamentary Group on Sex Equality,To campaign for the advancement of sex equality in the UK.,Subject,Fawcett Society,Secretariat From 13/09/2018 To 12/09/2019,1501,3000,2018-09-13,2019-01-10
All-Party Parliamentary Group on Sexual and Reproductive Health,The All-Party Parliamentary Group on Sexual and Reproductive Health in the UK aims to raise awareness in Parliament of the needs of women seeking abortion and the importance of improving all aspects of the sexual health of women and men in the UK.,Subject,Family Planning Association,Secretariat From 17/07/2018 To 16/07/2019,7501,9000,2018-07-17,2018-11-16
All-Party Parliamentary Group on Shared Ownership Housing,"To bring together MPs and Peers of all parties with policy makers, business leaders and industry experts, to discuss and promote shared ownership, its potential to increase housing supply, and to protect shared ownership customers.",Subject,Field Consulting,"Field Consulting is paid by heylo housing, Home Group, Building Societies Association, Hyde Housing, and Capital Counties to act as the group's secretariat, From 27/02/2019 To 26/02/2020",24001,25500,2019-02-27,2019-05-07
All-Party Parliamentary Group for Shooting and Conservation,To discuss and promote the interests and issues regarding shooting and conservation.,Subject,British Association for Shooting and Conservation,Secretariat From 11/07/2019 To 10/07/2020,1501,3000,2019-07-11,2019-10-22
Sickle Cell and Thalassaemia All-Party Parliamentary Group,To raise awareness of issues facing Sickle Cell and Thalassaemia patients in the UK.,Subject,Sickle Cell Society,Sickle Cell Society is part-funded by Novartis and Bluebird Bio to act as the group's secretariat From 07/09/2018 To 06/09/2019,13501,15000,2018-09-07,2018-12-03
All-Party Parliamentary Group on UK Sikhs,"To support and promote the interests of Sikhs in the UK, to work with British Sikhs to celebrate Sikh culture in the UK, and to ensure full equality for all British Sikhs.",Subject,Sikh Federation,Secretariat From 11/07/2018 To 10/07/2019,9001,10500,2018-07-11,2018-06-22
All-Party Parliamentary Group on Single Parent Families,To provide a forum for discussion of issues facing single parents and to promote consideration of single parents in the national legislative agenda.,Subject,River Island,Event,1501,3000,2019-07-03,2019-08-16
All-Party Parliamentary Group for Skills and Employment,"The APPG is a coalition of UK parliamentarians from all parties, devoted to raising the profile and status of skills and employment policy in the UK. The group works to promote and develop effective skills policy as a central means of personal and economic development.",Subject,Policy Connect,Secretariat From 11/07/2019 To 10/07/2020,79501,81000,2019-07-11,2018-08-02
All-Party Parliamentary Group on Skin,"To raise awareness of skin conditions in Parliament, improve treatment for patients with skin disease, improve efficiency in service commissioning and increase the number of dermatologists within the NHS.",Subject,Decideum Ltd,Secretariat From 05/09/2019 To 04/09/2020,28501,30000,2019-09-05,2019-09-19
All-Party Parliamentary Group for SME (Small and Medium-sized Enterprises) House Builders,"To examine the operations of SME (Small and Medium-sized Enterprises) House Builders in the UK; discover and highlight best practice; review the regulatory environment affecting the market, looking at ways of improving the delivery of new homes, and making recommendations on how Parliament can improve regulation to deliver more effective building of homes by SMEs.",Subject,Larkfleet,Secretariat From 11/07/2019 To 10/07/2020,1501,3000,2019-07-11,2019-07-04
All-Party Parliamentary Group on Social Care,"To provide a forum for parliamentarians to discuss the world of social care and related public policy; to promote awareness in Parliament of the realities of the social care sector for employees, employers and care recipients, and to set an agenda that seeks to explore the most urgent aspects of the sector; such as funding, professionalisation and standards.",Subject,GMB,Secretariat From 26/02/2019 To 25/02/2020,13501,15000,2019-02-28,2019-02-28
All-Party Parliamentary Group for Social Enterprise,"To showcase social enterprises, and discuss issues important to the social enterprise sector.",Subject,Social Enterprise UK,Secretariat From 06/09/2018 To 05/09/2019,1501,3000,2018-09-06,2019-01-07
All-Party Parliamentary Group on Social Integration,To drive forward a cross-party conversation on policy solutions to break down barriers to integration and create opportunities for people from all walks of life to build bonds of trust.,Subject,The Challenge,Secretariat From 18/07/2018 To 17/07/2019,25501,27000,2018-07-18,2018-10-30
All-Party Parliamentary Group on Social Media,"To build upon the evidence base of the impact of social media upon mental health and wellbeing; to raise the political profile of the issue; and to drive policy change that supports innovation, mitigates the negatives and maximises the positives of social media.",Subject,Royal Society for Public Health,Secretariat From 20/03/2019 To 19/03/2029,13501,15000,2019-03-20,2019-05-15
All-Party Parliamentary Group on Social Mobility,To discuss and evaluate key issues and indicators of social mobility and barriers to it. To hold seminars and meetings to present and highlight the latest research on social mobility.,Subject,Sutton Trust,Secretariat From 12/07/2019 To 11/07/2020,3001,4500,2019-07-12,2019-07-15
All-Party Parliamentary Group on Social Work,To promote knowledge and understanding of social work.,Subject,British Association of Social Workers,Secretariat From 01/05/2019 To 30/04/2020,4501,6000,2019-05-01,2019-07-18
All-Party Parliamentary Group for the Great South West,"To promote the economic and social advancement of the South West region as a great place to live, work and do business.",Subject,Heart of the South West Local Enterprise Partnership,Secretariat From 29/04/2019 To 28/04/2020,10501,12000,2019-04-29,2019-05-08
Parliamentary Space Committee (an All-Party Parliamentary Group),"To raise awareness in Parliament of the importance and opportunities of space based capabilities to the UK economy, policy making, society and the space community; to highlight and promote the benefits from the UK's investment in space and its leading role within the global space economy.",Subject,ADS LtD,Secretariat From 05/07/2019 To 04/07/2020,1501,3000,2019-07-05,2019-10-29
All-Party Parliamentary Group on Speech and Language Difficulties,To make Parliament aware that the ability to communicate is a crucial life skill for all; to increase awareness about the impact communication difficulties have on other people's lives; to highlight the importance of early identification and intervention; and to press for increased provision of speech and language therapy.,Subject,Royal College of Speech and Language Therapists,Secretariat From 24/01/2019 To 23/01/2020,3001,4500,2019-01-24,2019-02-01
All-Party Parliamentary Group on Spinal Cord Injury,"To look at specific issues being faced by Spinal Cord Injury (SCI) people, particularly relating to medical treatment, care, support and developments in treatments as, well as social care and wider issues that affect the lives of SCI people.",Subject,Spinal Injuries Association,Secretariat From 05/07/2019 To 04/07/2020,1501,3000,2019-07-05,2019-10-17
All-Party Parliamentary Group for Sport,"To be the central, constructive, cross-party voice for sport in Parliament.",Subject,Sport and Recreation Alliance,Secretariat From 18/07/2018 To 17/07/2019,3001,4500,2018-07-17,2018-09-11
"All-Party Parliamentary Group on Sport, Modern Slavery and Human Rights","To find solutions to pressing human rights problems affecting large-scale sporting events around the world, with a focus on three specific areas: the human rights impacts of the cycle of mega-sporting events, the impacts of the UK Modern Slavery Act on professional sport companies, and discrimination in sport in all its forms.",Subject,UN Global Compact Network UK,UN Global Compact Network UK is funded by the Institute for Human Rights and Business to act as the group's secretariat From 29/01/2019 To 28/01/2020,9001,10500,2019-01-29,2019-04-03
All-Party Parliamentary Group on Stem Cell Transplantation,To inform parliamentarians about the use of stem cell transplantation in saving lives; to facilitate debate and scrutiny on the collection and use of adult stem cells and umbilical cord blood in the UK; and to promote the expansion of stem cell donation in the UK.,Subject,Anthony Nolan,Secretariat From 18/07/2019 To 17/07/2020,3001,4500,2019-07-18,2019-10-30
All-Party Parliamentary Group on Street Children,"To work to protect and promote the rights of street children worldwide and to raise awareness of the various issues they face. This work includes receiving reports of human rights violations against children globally and communicating concerns to parliamentarians, ambassadors and governments.",Subject,Consortium for Street Children,Secretariat From 18/07/2018 To 17/07/2019,4501,6000,2018-07-18,2018-11-16
All-Party Parliamentary Group on Students,"To provide a forum for all parliamentarians to develop greater understanding of the range of issues affecting students in further and higher education. To ensure that student views and experiences are heard in Parliament, facilitate interaction between students and MPs and Peers, and ensure education policy is student-focused and student-led.",Subject,National Union of Students,Secretariat From 11/07/2018 To 10/07/2019,4501,6000,2018-07-11,2018-11-01
All-Party Parliamentary Group on Suicide and Self-Harm Prevention,To raise awareness within Parliament and encourage discussion and debate of all issues involved in suicide and self-harm prevention.,Subject,Samaritans,Secretariat From 12/07/2018 To 11/07/2019,1501,3000,2018-07-12,2018-07-31
All-Party Parliamentary Group for Sustainable Clothing and Textiles,To encourage sustainability in the clothing and textile industry.,Subject,Upfront Comms,Upfront Comms is paid by Hubbub to act as the group's secretariat,10501,12000,2019-07-15,2019-07-26
All-Party Parliamentary Sustainable Resource Group,"To develop a deeper understanding between government, parliament and the sustainable resource management sector of the sustainable management of waste.",Subject,Policy Connect,Secretariat From 11/09/2019 To 10/09/2020,72001,73500,2019-09-11,2019-07-16
All-Party Parliamentary Group on Swimming,To promote indoor and outdoor swimming at all levels.,Subject,Swim England,Secretariat From 06/09/2018 To 05/09/2019,3001,4500,2018-09-06,2019-01-08
All-Party Parliamentary Group on Taxation,"To look at and understand tax policy and taxation on all levels including simplification and digitalisation, EU Brexit and its impact on the UK’s taxation system, and international taxation. To work in partnership with HM Treasury to create a 'safe space' for Parliamentarians and interested stakeholders to meet, discuss and develop innovative proposals to reform, simplify and make the UK’s taxation system fairer.",Subject,Tristan Fitzgerald Associates Ltd,Secretariat From 12/07/2018 To 11/07/2019,30001,31500,2019-07-12,2019-07-31
All-Party Parliamentary Group on Taxis,To support and promote the interests of the taxi trade in parliament.,Subject,Newington Communications,Secretariat From 05/09/2018 To 04/09/2019,34501,36000,2018-09-05,2018-09-20
All-Party Parliamentary Group for Terminal Illness,"To raise awareness in Parliament of terminal illness and promote links between Parliament, individuals and families affected, charities, scientists, health professionals and decision makers.",Subject,Marie Curie,Secretariat From 28/02/2019 To 27/02/2020,1501,3000,2019-02-28,2018-03-08
All-Party Parliamentary Group for Theatre,"To support the resilience and relevance of theatre in the UK for audiences, society and the industry.  To identify and debate potential opportunities and issues for theatre in the UK.  To support parliamentarians' understanding of the theatre and performing arts industry at a national and local level.",Subject,Society of London Theatre,Joint Secretariat From 01/07/2019 To 30/06/2020,9001,10500,2019-07-01,2019-07-18
All-Party Parliamentary Group for Theatre,"To support the resilience and relevance of theatre in the UK for audiences, society and the industry.  To identify and debate potential opportunities and issues for theatre in the UK.  To support parliamentarians' understanding of the theatre and performing arts industry at a national and local level.",Subject,UK Theatre,Joint Secretariat From 01/07/2019 To 30/06/2020,9001,10500,2019-07-01,2019-07-18
All-Party Parliamentary Thrombosis Group,"To promote awareness amongst parliamentarians about the risk and management of venous thromboembolism (VTE); to increase knowledge of its causes, effects, and treatments; and to monitor the implementation of government initiatives and other research being undertaken.",Subject,Four Public Affairs,AntiCoagulation UK pays Four Public Affairs to act as the group's secretariat from grants received from the Pfizer-BMS Alliance and Bayer From 01/01/2018 To 31/12/2018,21001,22500,2018-01-01,2018-07-24
Tidy Britain All-Party Parliamentary Group,To discuss issues related to litter and local environmental quality; to raise these issues on the parliamentary agenda and to provide a forum for an exchange of views between parliamentarians and those with local environmental quality issues.,Subject,Keep Britain Tidy,Secretariat From 10/07/2019 To 09/07/2020,6001,7500,2019-07-10,2019-11-05
All-Party Parliamentary Group on Trade Justice,"To raise the profile of trade justice issues in Parliament, including how the international trade system affects the environment, human and social rights, rule of law and democracy. To inform and educate MPs and Peers about UK trade and investment policy and key issues in international trade.",Subject,The Trade Justice Movement,Secretariat From 22/01/2019 To 21/01/2020,3001,4500,2019-01-22,2019-01-24
All-Party Parliamentary Group on Global Tuberculosis,To accelerate the progress towards ending the TB epidemic.,Subject,Results UK,Secretariat From 11/09/2018 To 10/09/2019,12001,13500,2018-09-11,2018-09-13
United Nations All-Party Parliamentary Group,"To support the aims and ideals of the United Nations. The group's objective is to raise awareness among parliamentarians about the UN, including its contributions to peace and security, development and human rights; international law; and the relevance of the organisation to the British citizens.",Subject,United Nations Association - UK,Secretariat From 13/07/2018 To 12/07/2019,3001,4500,2018-07-13,2018-07-16
All-Party Parliamentary Group on the United Nations Global Goals for Sustainable Development,To promote the United Nations Global Goals for Sustainable Development and monitor their implementation.,Subject,Bond,Secretariat From 28/06/2019 To 27/06/2020,1501,3000,2019-06-28,2019-09-23
All-Party Parliamentary Group on Friends of the University of Hull,"To promote the University of Hull as a local, national and global centre of teaching, learning and research excellence and a vital contributor to the local community and economy of the Humber region and beyond.",Subject,University of Hull,Secretariat From 28/03/2019 To 27/03/2020,1501,3000,2019-03-28,2019-07-25
All-Party Parliamentary Group on Vaccinations for All,"To raise the political profile of the importance of routine vaccinations both around the world, and within the UK; and to encourage government to provide leadership and sustainable funding on confronting the challenges of ensuring equitable access to vaccines to everyone, no matter where they live.",Subject,RESULTS UK,Secretariat From 13/09/2018 To 12/09/2019,6001,7500,2018-09-13,2018-10-19
All-Party Parliamentary Group on Vaccinations for All,"To raise the political profile of the importance of routine vaccinations both around the world, and within the UK; and to encourage government to provide leadership and sustainable funding on confronting the challenges of ensuring equitable access to vaccines to everyone, no matter where they live.",Subject,RESULTS UK,Visit to Geneva From 06/06/2019 To 07/06/2019,1501,3000,2019-06-06,2019-08-02
All-Party Parliamentary Group for Vaping,To explore the most appropriate parliamentary and regulatory response to e-cigarettes and to raise education and literacy amongst policy makers regarding e-cigarettes and related public policy questions.,Subject,UK Vaping Industry Association,Secretariat From 11/07/2018 To 10/07/2019,12001,13500,2018-07-11,2018-10-18
